Make,Model,Year,Category
Acura,CL,2001,Coupe
Acura,CL,2002,Coupe
Acura,CL,2003,Coupe
Acura,ILX,2013,Sedan
Acura,ILX,2014,Sedan
Acura,ILX,2015,Sedan
Acura,ILX,2016,Sedan
Acura,ILX,2017,Sedan
Acura,ILX,2018,Sedan
Acura,ILX,2019,Sedan
Acura,ILX,2021,Sedan
Acura,Integra,2000,"Sedan, Hatchback"
Acura,Integra,2001,"Hatchback, Sedan"
Acura,MDX,2001,SUV
Acura,MDX,2002,SUV
Acura,MDX,2003,SUV
Acura,MDX,2004,SUV
Acura,MDX,2005,SUV
Acura,MDX,2006,SUV
Acura,MDX,2007,SUV
Acura,MDX,2008,SUV
Acura,MDX,2009,SUV
Acura,MDX,2010,SUV
Acura,MDX,2011,SUV
Acura,MDX,2012,SUV
Acura,MDX,2013,SUV
Acura,MDX,2014,SUV
Acura,MDX,2015,SUV
Acura,MDX,2016,SUV
Acura,MDX,2017,SUV
Acura,MDX,2018,SUV
Acura,MDX,2019,SUV
Acura,MDX,2020,SUV
Acura,MDX,2022,SUV
Acura,MDX Sport Hybrid,2017,SUV
Acura,MDX Sport Hybrid,2018,SUV
Acura,MDX Sport Hybrid,2019,SUV
Acura,NSX,2000,"Coupe, Convertible"
Acura,NSX,2001,"Coupe, Convertible"
Acura,NSX,2002,Coupe
Acura,NSX,2003,Coupe
Acura,NSX,2004,Coupe
Acura,NSX,2005,Coupe
Acura,NSX,2017,Coupe
Acura,NSX,2018,Coupe
Acura,NSX,2019,Coupe
Acura,RDX,2007,SUV
Acura,RDX,2008,SUV
Acura,RDX,2009,SUV
Acura,RDX,2010,SUV
Acura,RDX,2011,SUV
Acura,RDX,2012,SUV
Acura,RDX,2013,SUV
Acura,RDX,2014,SUV
Acura,RDX,2015,SUV
Acura,RDX,2016,SUV
Acura,RDX,2017,SUV
Acura,RDX,2018,SUV
Acura,RDX,2019,SUV
Acura,RDX,2020,SUV
Acura,RDX,2021,SUV
Acura,RL,2000,Sedan
Acura,RL,2001,Sedan
Acura,RL,2002,Sedan
Acura,RL,2003,Sedan
Acura,RL,2004,Sedan
Acura,RL,2005,Sedan
Acura,RL,2006,Sedan
Acura,RL,2007,Sedan
Acura,RL,2008,Sedan
Acura,RL,2009,Sedan
Acura,RL,2010,Sedan
Acura,RL,2011,Sedan
Acura,RL,2012,Sedan
Acura,RLX,2014,Sedan
Acura,RLX,2015,Sedan
Acura,RLX,2016,Sedan
Acura,RLX,2017,Sedan
Acura,RLX,2018,Sedan
Acura,RLX,2019,Sedan
Acura,RLX,2020,Sedan
Acura,RLX Sport Hybrid,2014,Sedan
Acura,RLX Sport Hybrid,2016,Sedan
Acura,RLX Sport Hybrid,2017,Sedan
Acura,RLX Sport Hybrid,2018,Sedan
Acura,RLX Sport Hybrid,2019,Sedan
Acura,RSX,2002,Coupe
Acura,RSX,2003,Coupe
Acura,RSX,2004,Coupe
Acura,RSX,2005,Coupe
Acura,RSX,2006,Coupe
Acura,TL,2000,Sedan
Acura,TL,2001,Sedan
Acura,TL,2002,Sedan
Acura,TL,2003,Sedan
Acura,TL,2004,Sedan
Acura,TL,2005,Sedan
Acura,TL,2006,Sedan
Acura,TL,2007,Sedan
Acura,TL,2008,Sedan
Acura,TL,2009,Sedan
Acura,TL,2010,Sedan
Acura,TL,2011,Sedan
Acura,TL,2012,Sedan
Acura,TL,2013,Sedan
